角色名,角色英文名,作品名,图片文件名,图片路径
五河琴里,itsuka kotori,约会大作战,itsuka kotori.png,https://international.saimoe.website/static/img/isml/avatar/small/itsuka_kotori1.png
丰川祥子,togawa sakiko,BanG Dream!,togawa sakiko.png,https://international.saimoe.website/static/img/isml/avatar/small/togawa_sakiko.png
山田杏奈,yamada anna,我心里危险的东西,yamada anna.png,https://international.saimoe.website/static/img/isml/avatar/small/yamada_anna1.png
西片,nishikata,擅长捉弄的高木同学,nishikata.png,https://international.saimoe.website/static/img/isml/avatar/small/nishikata.png
旗木卡卡西,hatake kakashi,火影忍者,hatake kakashi.png,https://international.saimoe.website/static/img/isml/avatar/small/hatake_kakashi.png
卫宫切嗣,emiya kiritsugu,Fate系列,emiya kiritsugu.png,https://international.saimoe.website/static/img/isml/avatar/small/emiya_kiritsugu.png
罗罗亚·索隆,roronoa zoro,海贼王,roronoa zoro.png,https://international.saimoe.website/static/img/isml/avatar/small/roronoa_zoro.png
上条当麻,kamijo toma,魔法禁书目录,kamijo toma.png,https://international.saimoe.website/static/img/isml/avatar/small/kamijo_toma.png
吉尔伽美什,gilgamesh,Fate系列,gilgamesh.png,https://international.saimoe.website/static/img/isml/avatar/small/gilgamesh.png
富冈义勇,tomioka giyu,鬼灭之刃,tomioka giyu.png,https://international.saimoe.website/static/img/isml/avatar/small/tomioka_giyu.png
户冢彩加,totsuka saika,我的青春恋爱物语果然有问题。,totsuka saika.png,https://international.saimoe.website/static/img/isml/avatar/small/totsuka_saika.png
